id_cli,full_name,contact_info,reg_date,cat,int_score
C_00001,User_1,user_1@domain.com,2022-08-02,A,41.05
C_00002,User_2,user_2@domain.com,2019-08-17,X,14.15
C_00003,User_3,user_3@domain.com,2019-02-21,B,43.82
C_00004,User_4,user_4@domain.com,2023-02-27,A,63.7
C_00005,User_5,user_5@domain.com,2020-07-17,A,58.06
C_00006,User_6,user_6@domain.com,2020-05-16,A,56.42
C_00007,User_7,user_7@domain.com,2020-04-02,A,45.8
C_00008,User_8,user_8@domain.com,2019-10-13,C,30.81
C_00009,User_9,user_9@domain.com,2023-02-17,B,57.73
C_00010,User_10,invalid_10,2019-07-29,B,37.49
C_00011,User_11,user_11@domain.com,2022-10-17,A,82.76
C_00012,User_12,user_12@domain.com,2023-02-25,X,58.56
C_00013,User_13,user_13@domain.com,2022-01-21,C,41.29
C_00014,User_14,user_14@domain.com,2019-06-28,A,40.83
C_00015,User_15,user_15@domain.com,2022-04-24,A,48.61
C_00016,User_16,user_16@domain.com,2021-05-14,A,46.41
C_00017,User_17,user_17@domain.com,2019-03-07,A,66.75
C_00018,User_18,user_18@domain.com,2019-03-03,A,52.8
C_00019,User_19,user_19@domain.com,2019-07-11,A,39.03
C_00020,User_20,invalid_20,2020-03-23,A,78.36
C_00021,User_21,user_21@domain.com,2020-04-21,B,50.74
C_00022,User_22,user_22@domain.com,2021-10-31,A,61.53
C_00023,User_23,user_23@domain.com,2022-05-17,A,40.88
C_00024,User_24,user_24@domain.com,2019-02-24,A,55.45
C_00025,User_25,user_25@domain.com,2022-02-23,A,54.67
C_00026,User_26,user_26@domain.com,2020-02-12,B,21.66
C_00027,User_27,user_27@domain.com,2023-01-06,A,80.23
C_00028,User_28,user_28@domain.com,2022-08-23,A,69.36
C_00029,User_29,user_29@domain.com,2022-12-07,A,44.04
C_00030,User_30,invalid_30,2022-01-21,A,33.47
C_00031,User_31,user_31@domain.com,2021-05-09,B,55.21
C_00032,User_32,user_32@domain.com,2020-03-27,A,51.3
C_00033,User_33,user_33@domain.com,2021-07-08,A,55.34
C_00034,User_34,user_34@domain.com,2022-04-21,X,52.87
C_00035,User_35,user_35@domain.com,2020-07-23,X,57.59
C_00036,User_36,user_36@domain.com,2023-07-16,C,71.71
C_00037,User_37,user_37@domain.com,2023-11-16,A,58.52
C_00038,User_38,user_38@domain.com,2019-01-14,A,34.26
C_00039,User_39,user_39@domain.com,2023-04-04,B,70.44
C_00040,User_40,invalid_40,2023-07-09,A,74.61
C_00041,User_41,user_41@domain.com,2019-11-23,A,97.28
C_00042,User_42,user_42@domain.com,2022-11-30,A,33.15
C_00043,User_43,user_43@domain.com,2021-05-15,A,53.64
C_00044,User_44,user_44@domain.com,2020-11-27,X,18.77
C_00045,User_45,user_45@domain.com,2020-07-23,A,58.3
C_00046,User_46,user_46@domain.com,2019-11-15,B,41.78
C_00047,User_47,user_47@domain.com,2020-03-16,A,78.85
C_00048,User_48,user_48@domain.com,2023-04-13,A,38.38
C_00049,User_49,user_49@domain.com,2020-11-20,A,24.66
C_00050,User_50,invalid_50,2019-07-29,A,42.93
C_00051,User_51,user_51@domain.com,2019-07-09,X,20.37
C_00052,User_52,user_52@domain.com,2021-02-17,B,61.27
C_00053,User_53,user_53@domain.com,2019-07-18,X,19.02
C_00054,User_54,user_54@domain.com,2021-01-05,C,50.43
C_00055,User_55,user_55@domain.com,2023-10-02,A,18.83
C_00056,User_56,user_56@domain.com,2020-12-05,X,45.2
C_00057,User_57,user_57@domain.com,2022-05-21,A,74.65
C_00058,User_58,user_58@domain.com,2020-06-25,A,55.41
C_00059,User_59,user_59@domain.com,2023-07-11,A,37.05
C_00060,User_60,invalid_60,2019-03-30,A,49.53
C_00061,User_61,user_61@domain.com,2023-02-03,A,50.27
C_00062,User_62,user_62@domain.com,2021-07-29,A,57.09
C_00063,User_63,user_63@domain.com,2022-01-03,C,29.5
C_00064,User_64,user_64@domain.com,2019-09-13,A,58.89
C_00065,User_65,user_65@domain.com,2021-02-14,A,9.43
C_00066,User_66,user_66@domain.com,2019-06-11,A,40.55
C_00067,User_67,user_67@domain.com,2022-02-04,A,42.68
C_00068,User_68,user_68@domain.com,2020-08-23,C,59.5
C_00069,User_69,user_69@domain.com,2023-08-26,A,50.34
C_00070,User_70,invalid_70,2022-07-11,X,28.92
C_00071,User_71,user_71@domain.com,2022-06-20,B,35.23
C_00072,User_72,user_72@domain.com,2023-10-31,A,52.98
C_00073,User_73,user_73@domain.com,2021-01-10,A,48.81
C_00074,User_74,user_74@domain.com,2022-03-28,C,41.31
C_00075,User_75,user_75@domain.com,2020-01-29,B,42.79
C_00076,User_76,user_76@domain.com,2022-12-13,B,60.44
C_00077,User_77,user_77@domain.com,2019-05-23,B,42.23
C_00078,User_78,user_78@domain.com,2019-04-04,A,48.68
C_00079,User_79,user_79@domain.com,2022-09-16,A,82.55
C_00080,User_80,invalid_80,2020-04-11,A,28.64
C_00081,User_81,user_81@domain.com,2023-05-03,C,22.22
C_00082,User_82,user_82@domain.com,2020-08-15,B,61.75
C_00083,User_83,user_83@domain.com,2019-06-13,A,39.82
C_00084,User_84,user_84@domain.com,2023-10-18,A,45.23
C_00085,User_85,user_85@domain.com,2020-04-21,A,38.28
C_00086,User_86,user_86@domain.com,2023-11-10,A,46.1
C_00087,User_87,user_87@domain.com,2019-07-26,B,73.98
C_00088,User_88,user_88@domain.com,2021-02-17,B,62.03
C_00089,User_89,user_89@domain.com,2020-07-23,C,62.93
C_00090,User_90,invalid_90,2021-07-17,A,28.76
